Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 64.72     18.38    18.38       75     0.25     0.25  gemm_nn
 14.79     22.58     4.20      196     0.02     0.02  fill_cpu
  8.66     25.04     2.46      101     0.02     0.02  copy_cpu
  6.58     26.91     1.87       75     0.02     0.03  make_convolutional_layer
  2.18     27.53     0.62       38     0.02     0.03  im2col_cpu
  1.18     27.87     0.34 236215296     0.00     0.00  im2col_get_pixel
  0.63     28.05     0.18 61895776     0.00     0.00  rand_normal
  0.30     28.13     0.09 116660760     0.00     0.00  activate
  0.14     28.17     0.04       75     0.00     0.00  gemm_cpu
  0.12     28.21     0.04       98     0.00     0.00  get_activation
  0.12     28.24     0.04                             gradient_array
  0.11     28.27     0.03      116     0.00     0.00  activate_array
  0.11     28.30     0.03        1     0.03     0.03  resize_image
  0.07     28.32     0.02      761     0.00     0.00  load_image_stb
  0.07     28.34     0.02       72     0.00     0.00  scale_bias
  0.07     28.36     0.02       23     0.00     0.00  shortcut_cpu
  0.04     28.37     0.01    13824     0.00     0.00  stbi__idct_simd
  0.04     28.38     0.01      576     0.00     0.00  stbi__YCbCr_to_RGB_simd
  0.04     28.39     0.01       72     0.00     0.00  normalize_cpu
  0.04     28.40     0.01        1     0.01     0.01  save_image_options
  0.00     28.40     0.00   118601     0.00     0.00  stbi__stdio_write
  0.00     28.40     0.00    72838     0.00     0.00  stbi__grow_buffer_unsafe
  0.00     28.40     0.00    37271     0.00     0.00  stbiw__jpg_writeBits
  0.00     28.40     0.00    23560     0.00     0.00  stbi__get32be
  0.00     28.40     0.00    13825     0.00     0.00  stbi__jpeg_decode_block
  0.00     28.40     0.00    13824     0.00     0.00  stbi__jpeg_huff_decode
  0.00     28.40     0.00     9931     0.00     0.00  stbi__get8
  0.00     28.40     0.00     5324     0.00     0.00  stbi__skip
  0.00     28.40     0.00     4397     0.00     0.00  stbi__stdio_read
  0.00     28.40     0.00     2024     0.00     0.00  option_find
  0.00     28.40     0.00     1292     0.00     0.00  option_find_int_quiet
  0.00     28.40     0.00     1152     0.00     0.00  stbi__resample_row_v_2
  0.00     28.40     0.00      880     0.00     0.00  fgetl
  0.00     28.40     0.00      797     0.00     0.00  strip
  0.00     28.40     0.00      782     0.00     0.00  make_empty_image
  0.00     28.40     0.00      779     0.00     0.00  make_image
  0.00     28.40     0.00      762     0.00     0.00  stbi__mad3sizes_valid
  0.00     28.40     0.00      761     0.00     0.00  load_image
  0.00     28.40     0.00      761     0.00     0.00  load_image_color
  0.00     28.40     0.00      761     0.00     0.00  stbi__load_and_postprocess_8bit
  0.00     28.40     0.00      761     0.00     0.00  stbi__load_main
  0.00     28.40     0.00      761     0.00     0.00  stbi_load
  0.00     28.40     0.00      761     0.00     0.00  stbi_load_from_file
  0.00     28.40     0.00      760     0.00     0.00  stbi__convert_format
  0.00     28.40     0.00      760     0.00     0.00  stbi__getn
  0.00     28.40     0.00      760     0.00     0.00  stbi__parse_png_file
  0.00     28.40     0.00      760     0.00     0.00  stbi__parse_zlib
  0.00     28.40     0.00      760     0.00     0.00  stbi_zlib_decode_malloc_guesssize_headerflag
  0.00     28.40     0.00      760     0.00     0.00  stbiw__zlib_flushf
  0.00     28.40     0.00      734     0.00     0.00  list_insert
  0.00     28.40     0.00      576     0.00     0.00  resample_row_1
  0.00     28.40     0.00      546     0.00     0.00  option_insert
  0.00     28.40     0.00      546     0.00     0.00  read_option
  0.00     28.40     0.00      346     0.00     0.00  option_find_float_quiet
  0.00     28.40     0.00      340     0.00     0.00  stbi__zbuild_huffman
  0.00     28.40     0.00      236     0.00     0.00  option_find_int
  0.00     28.40     0.00      225     0.00     0.00  stbi__stdio_skip
  0.00     28.40     0.00      170     0.00     0.00  stbi__compute_huffman_codes
  0.00     28.40     0.00      144     0.00     0.00  overlap
  0.00     28.40     0.00      111     0.00     0.00  make_list
  0.00     28.40     0.00      109     0.00     0.00  option_find_str
  0.00     28.40     0.00      108     0.00     0.00  free_section
  0.00     28.40     0.00      107     0.00     0.00  option_unused
  0.00     28.40     0.00      107     0.00     0.00  string_to_layer_type
  0.00     28.40     0.00       75     0.00     0.00  add_bias
  0.00     28.40     0.00       75     0.00     0.00  convolutional_out_height
  0.00     28.40     0.00       75     0.00     0.00  convolutional_out_width
  0.00     28.40     0.00       75     0.00     0.30  forward_convolutional_layer
  0.00     28.40     0.00       75     0.00     0.00  gemm
  0.00     28.40     0.00       75     0.00     0.00  load_convolutional_weights
  0.00     28.40     0.00       75     0.00     0.03  parse_convolutional
  0.00     28.40     0.00       72     0.00     0.00  box_intersection
  0.00     28.40     0.00       72     0.00     0.02  forward_batchnorm_layer
  0.00     28.40     0.00       36     0.00     0.00  box_iou
  0.00     28.40     0.00       36     0.00     0.00  box_union
  0.00     28.40     0.00       25     0.00     0.00  free_image
  0.00     28.40     0.00       23     0.00     0.03  forward_shortcut_layer
  0.00     28.40     0.00       23     0.00     0.00  make_shortcut_layer
  0.00     28.40     0.00       23     0.00     0.00  parse_shortcut
  0.00     28.40     0.00       16     0.00     0.00  stbi__get16be
  0.00     28.40     0.00       15     0.00     0.02  tile_images
  0.00     28.40     0.00       13     0.00     0.00  embed_image
